throttles,time,vehicle_mass,vehicle_propellant,pursuer_pos_x,pursuer_pos_y,pursuer_pos_z,pursuer_vel_x,pursuer_vel_y,pursuer_vel_z,evader_pos_x,evader_pos_y,evader_pos_z,evader_vel_x,evader_vel_y,evader_vel_z
"[0, 1.0, 0]",29.45999999999946,6655.91845703125,1192.720947265625,723303.2493198183,-198091.78904121742,-52.914108318792906,567.0820005248293,2094.8079564645,-2.427510301189331,724047.1749062586,-195583.78754920082,-0.3421797506085298,565.8251787641302,2094.9138065949905,0.003611537903160489
"[0, 1.0, 0]",29.99999999999945,6655.03466796875,1192.5001220703125,723608.541282716,-196960.33799878947,-54.15733642683248,563.6292422113775,2095.7504623836007,-2.1777455994729484,724351.8347468146,-194452.2977741507,-0.34021867618779567,562.551448119227,2095.7953824123942,0.0036114777426647926
"[0, 1.0, 0]",30.539999999999438,6654.150390625,1192.28759765625,723900.7636402892,-195870.31284477797,-55.227123512799714,560.1749937080813,2096.6877305076537,-1.927946423368295,724654.7263098552,-193320.3333654444,-0.3382594543106734,559.2763442108948,2096.6718418409446,0.00361190094988606
"[0, 1.0, 0]",31.079999999999426,6653.2666015625,1192.05810546875,724213.5297287274,-194695.91612581591,-56.23912725195684,556.7192668250356,2097.619768485144,-1.6781118341312165,724955.8491749024,-192187.89684601367,-0.3363071882019213,555.9998747796002,2097.5431833630514,0.0036119820491022914
"[0, 1.0, 0]",31.619999999999415,6652.38330078125,1191.8372802734375,724513.2246158151,-193562.95094006907,-57.0776523173563,553.2620734816355,2098.5465977199024,-1.4282436436496035,725255.2019120607,-191054.99144565137,-0.334355381201938,552.7220475663863,2098.409404633378,0.0036121325871663057
"[0, 1.0, 0]",33.219999999999594,6650.58203125,1191.395263671875,725390.2893955897,-190203.10996875202,-58.832765172683615,543.1852320072337,2101.2153152686064,-0.9281491210189209,726131.7789632191,-187695.50464509666,-0.3285613613957352,543.0020733245759,2100.9459062660253,0.003612386890140873
"[0, 1.0, 0]",33.75999999999968,6650.58203125,1191.395263671875,725682.7236251726,-189068.22195618346,-59.33389364972907,539.9043025185425,2102.0728616921406,-0.9278819422807899,726424.1136025772,-186560.7653658451,-0.32661273375349964,539.7189442423586,2101.791816348485,0.0036125017331165576
"[0, 1.0, 0]",34.319999999999766,6649.73193359375,1191.182861328125,725973.3402769873,-187932.86013673487,-59.77245484963957,536.447009013931,2102.9719831852253,-0.6875185718289156,726714.6742176298,-185425.57157498828,-0.32465882525745826,536.4344972453686,2102.6325959996266,0.003612393699959693
"[0, 0, -1.0]",36.4400000000001,6647.93017578125,1190.7325439453125,727096.3558526353,-183470.89471174282,-60.42928922856635,523.176844654442,2106.3683441895146,-0.17734433985190493,727848.7064043612,-180922.412024014,-0.31692811227937057,523.4055517862898,2105.914080992655,0.0036174895540608265
"[0, 0, 1.0]",39.680000000000604,6647.04638671875,1190.5115966796875,728758.8918728647,-176638.11480543864,-61.451290710919935,503.06320292653265,2111.3598634602995,-0.3639978705131929,729512.53174686,-174091.40623693174,-0.3051544573691132,503.64144673317094,2110.7286249759404,0.0036271336686682365
"[0, 0, 1.0]",41.280000000000854,6646.19677734375,1190.2991943359375,729566.2180439915,-173215.8871376388,-61.899043969039624,493.52031381980066,2113.6319079198956,-0.18206947441926932,730310.5361522089,-170712.3888619998,-0.29934600663632693,493.8649553822885,2113.0377895213933,0.0036319230692746785
"[0, 1.0, 0]",46.64000000000169,6645.3134765625,1190.0782470703125,732115.453476392,-161909.1922021117,-62.01453762202698,460.9425691873439,2121.079993336505,0.009041150532561456,732869.7183282217,-159366.43962630542,-0.27981126008601365,461.0377635870757,2120.4432756289452,0.003645269327462928
